
  
   Name                                     | Table size | Index size | Total size | Estimated row count | Seq scans 
  ------------------------------------------|------------|------------|------------|---------------------|-----------
   public.cid_chunks                        | 7424 kB    | 336 kB     | 7760 kB    | 0                   | 601       
   public.cid_outputs                       | 2896 kB    | 96 kB      | 2992 kB    | 0                   | 0         
   public.chat_messages                     | 2760 kB    | 80 kB      | 2840 kB    | 45                  | 6669      
   public.agents                            | 2272 kB    | 16 kB      | 2288 kB    | 4                   | 69356     
   public.vault_items                       | 1376 kB    | 32 kB      | 1408 kB    | 0                   | 21140     
   public.cid_asset_files                   | 1256 kB    | 48 kB      | 1304 kB    | 0                   | 0         
   public.continuous_memory_chunks          | 384 kB     | 136 kB     | 520 kB     | 410                 | 12        
   public.intelligence_flow_steps           | 160 kB     | 112 kB     | 272 kB     | 215                 | 0         
   public.intelligence_flows                | 72 kB      | 112 kB     | 184 kB     | 21                  | 4455      
   public.agent_quality_events              | 56 kB      | 128 kB     | 184 kB     | 7                   | 0         
   public.agent_configs                     | 112 kB     | 64 kB      | 176 kB     | 1                   | 28702     
   public.chat_sessions                     | 96 kB      | 80 kB      | 176 kB     | 196                 | 10308     
   public.ventures                          | 136 kB     | 16 kB      | 152 kB     | 0                   | 52328     
   public.cid_processing_jobs               | 48 kB      | 96 kB      | 144 kB     | 0                   | 433       
   public.continuous_memory_sessions        | 56 kB      | 80 kB      | 136 kB     | 9                   | 196       
   public.cid_assets                        | 56 kB      | 80 kB      | 136 kB     | 1                   | 492       
   public.taskzei_tasks                     | 16 kB      | 112 kB     | 128 kB     | 12                  | 280       
   public.agent_mission_steps               | 48 kB      | 80 kB      | 128 kB     | 0                   | 0         
   public.continuous_memory_jobs            | 16 kB      | 96 kB      | 112 kB     | 0                   | 0         
   public.agent_dna_profiles                | 32 kB      | 80 kB      | 112 kB     | 1                   | 0         
   public.agent_dna_effective               | 32 kB      | 80 kB      | 112 kB     | 1                   | 28688     
   public.agent_missions                    | 48 kB      | 48 kB      | 96 kB      | 0                   | 0         
   public.continuous_memory_outputs         | 16 kB      | 80 kB      | 96 kB      | 0                   | 0         
   public.workspace_members                 | 16 kB      | 64 kB      | 80 kB      | 0                   | 76399     
   public.taskzei_doc_nodes                 | 16 kB      | 64 kB      | 80 kB      | 13                  | 6         
   public.continuous_memory_files           | 16 kB      | 64 kB      | 80 kB      | 0                   | 0         
   public.continuous_memory_chunk_labels    | 8192 bytes | 64 kB      | 72 kB      | 0                   | 0         
   public.user_ventures                     | 16 kB      | 48 kB      | 64 kB      | 0                   | 1         
   public.eda360_leads                      | 16 kB      | 48 kB      | 64 kB      | 3                   | 3         
   public.continuous_memory_labels          | 16 kB      | 48 kB      | 64 kB      | 0                   | 155       
   public.knowledge_nodes                   | 16 kB      | 48 kB      | 64 kB      | 0                   | 13762     
   public.cid_asset_tags                    | 16 kB      | 48 kB      | 64 kB      | 0                   | 0         
   public.cid_tags                          | 16 kB      | 48 kB      | 64 kB      | 0                   | 0         
   public.dev_tasks                         | 8192 bytes | 56 kB      | 64 kB      | 0                   | 0         
   public.dev_task_runs                     | 8192 bytes | 56 kB      | 64 kB      | 0                   | 0         
   public.eda360_diagnostics                | 16 kB      | 48 kB      | 64 kB      | 2                   | 3         
   public.eda360_diagnostic_events          | 16 kB      | 48 kB      | 64 kB      | 1                   | 3         
   public.taskzei_doc_contents              | 16 kB      | 48 kB      | 64 kB      | 10                  | 5         
   public.api_audit_log                     | 8192 bytes | 48 kB      | 56 kB      | 0                   | 6         
   public.nagi_ecosystem_entities           | 8192 bytes | 48 kB      | 56 kB      | 0                   | 0         
   public.nagi_entity_relations             | 8192 bytes | 48 kB      | 56 kB      | 0                   | 0         
   public.dev_task_launches                 | 8192 bytes | 48 kB      | 56 kB      | 0                   | 0         
   public.continuous_memory_extracted_items | 8192 bytes | 40 kB      | 48 kB      | 0                   | 0         
   public.governance_global_culture         | 16 kB      | 32 kB      | 48 kB      | 0                   | 21149     
   public.nagi_external_signals             | 8192 bytes | 40 kB      | 48 kB      | 0                   | 0         
   public.nagi_insight_distributions        | 8192 bytes | 40 kB      | 48 kB      | 0                   | 0         
   public.nagi_ecosystem_decisions          | 8192 bytes | 40 kB      | 48 kB      | 0                   | 0         
   public.agent_memories                    | 8192 bytes | 40 kB      | 48 kB      | 0                   | 0         
   public.governance_compliance_rules       | 16 kB      | 32 kB      | 48 kB      | 0                   | 21147     
   public.cid_prompt_run_items              | 8192 bytes | 40 kB      | 48 kB      | 0                   | 464       
   public.dev_developer_sessions            | 8192 bytes | 40 kB      | 48 kB      | 0                   | 0         
   public.cid_batch_items                   | 8192 bytes | 40 kB      | 48 kB      | 0                   | 0         
   public.cid_prompt_runs                   | 8192 bytes | 32 kB      | 40 kB      | 0                   | 0         
   public.dev_projects                      | 8192 bytes | 32 kB      | 40 kB      | 0                   | 0         
   public.channel_messages                  | 8192 bytes | 32 kB      | 40 kB      | 0                   | 4         
   public.taskzei_audit_log                 | 8192 bytes | 32 kB      | 40 kB      | 0                   | 6         
   public.contact_channel_identities        | 8192 bytes | 32 kB      | 40 kB      | 0                   | 4         
   public.taskzei_decisions                 | 8192 bytes | 32 kB      | 40 kB      | 0                   | 13        
   public.webhook_events_raw                | 8192 bytes | 32 kB      | 40 kB      | 0                   | 4         
   public.agent_artifacts                   | 8192 bytes | 32 kB      | 40 kB      | 0                   | 0         
   public.taskzei_inbox_items               | 8192 bytes | 32 kB      | 40 kB      | 0                   | 6         
   public.continuous_memory_links           | 8192 bytes | 32 kB      | 40 kB      | 0                   | 0         
